Consumer;Liking;Barley;Salt;Sex;Age;WB;BB;Edu;Health
87.0;4.0;2.0;2.0;2.0;3.0;5.0;2.0;4.0;9.0
88.0;5.0;1.0;1.0;2.0;1.0;5.0;3.0;4.0;6.0
88.0;6.0;1.0;2.0;2.0;1.0;5.0;3.0;4.0;6.0
88.0;6.0;2.0;1.0;2.0;1.0;5.0;3.0;4.0;6.0
88.0;8.0;2.0;2.0;2.0;1.0;5.0;3.0;4.0;6.0
89.0;4.0;1.0;1.0;1.0;1.0;5.0;2.0;4.0;8.0
89.0;7.0;1.0;2.0;1.0;1.0;5.0;2.0;4.0;8.0
89.0;8.0;2.0;1.0;1.0;1.0;5.0;2.0;4.0;8.0
89.0;6.0;2.0;2.0;1.0;1.0;5.0;2.0;4.0;8.0
90.0;NA;1.0;1.0;1.0;2.0;1.0;2.0;2.0;4.0
90.0;1.0;1.0;2.0;1.0;2.0;1.0;2.0;2.0;4.0
90.0;3.0;2.0;1.0;1.0;2.0;1.0;2.0;2.0;4.0
90.0;1.0;2.0;2.0;1.0;2.0;1.0;2.0;2.0;4.0
91.0;5.0;1.0;1.0;2.0;1.0;5.0;1.0;3.0;4.0
91.0;4.0;1.0;2.0;2.0;1.0;5.0;1.0;3.0;4.0
91.0;4.0;2.0;1.0;2.0;1.0;5.0;1.0;3.0;4.0
91.0;2.0;2.0;2.0;2.0;1.0;5.0;1.0;3.0;4.0
92.0;4.0;1.0;1.0;2.0;1.0;3.0;1.0;2.0;7.0
92.0;7.0;1.0;2.0;2.0;1.0;3.0;1.0;2.0;7.0
92.0;7.0;2.0;1.0;2.0;1.0;3.0;1.0;2.0;7.0
92.0;6.0;2.0;2.0;2.0;1.0;3.0;1.0;2.0;7.0
93.0;7.0;1.0;1.0;1.0;4.0;5.0;1.0;4.0;9.0
93.0;7.0;1.0;2.0;1.0;4.0;5.0;1.0;4.0;9.0
93.0;4.0;2.0;1.0;1.0;4.0;5.0;1.0;4.0;9.0
93.0;4.0;2.0;2.0;1.0;4.0;5.0;1.0;4.0;9.0
94.0;5.0;1.0;1.0;1.0;1.0;5.0;1.0;2.0;5.0
94.0;6.0;1.0;2.0;1.0;1.0;5.0;1.0;2.0;5.0
94.0;2.0;2.0;1.0;1.0;1.0;5.0;1.0;2.0;5.0
94.0;1.0;2.0;2.0;1.0;1.0;5.0;1.0;2.0;5.0
95.0;5.0;1.0;1.0;2.0;5.0;5.0;1.0;3.0;5.0
95.0;7.0;1.0;2.0;2.0;5.0;5.0;1.0;3.0;5.0
95.0;5.0;2.0;1.0;2.0;5.0;5.0;1.0;3.0;5.0
95.0;5.0;2.0;2.0;2.0;5.0;5.0;1.0;3.0;5.0
96.0;5.0;1.0;1.0;1.0;1.0;5.0;1.0;4.0;8.0
96.0;5.0;1.0;2.0;1.0;1.0;5.0;1.0;4.0;8.0
96.0;6.0;2.0;1.0;1.0;1.0;5.0;1.0;4.0;8.0
96.0;3.0;2.0;2.0;1.0;1.0;5.0;1.0;4.0;8.0
97.0;8.0;1.0;1.0;1.0;2.0;5.0;1.0;3.0;8.0
97.0;6.0;1.0;2.0;1.0;2.0;5.0;1.0;3.0;8.0
97.0;3.0;2.0;1.0;1.0;2.0;5.0;1.0;3.0;8.0
97.0;3.0;2.0;2.0;1.0;2.0;5.0;1.0;3.0;8.0
98.0;4.0;1.0;1.0;1.0;3.0;5.0;1.0;3.0;9.0
98.0;8.0;1.0;2.0;1.0;3.0;5.0;1.0;3.0;9.0
98.0;9.0;2.0;1.0;1.0;3.0;5.0;1.0;3.0;9.0
98.0;8.0;2.0;2.0;1.0;3.0;5.0;1.0;3.0;9.0
99.0;9.0;1.0;1.0;1.0;3.0;5.0;1.0;2.0;7.0
99.0;9.0;1.0;2.0;1.0;3.0;5.0;1.0;2.0;7.0
99.0;7.0;2.0;1.0;1.0;3.0;5.0;1.0;2.0;7.0
99.0;8.0;2.0;2.0;1.0;3.0;5.0;1.0;2.0;7.0
100.0;7.0;1.0;1.0;1.0;2.0;1.0;1.0;3.0;9.0
100.0;6.0;1.0;2.0;1.0;2.0;1.0;1.0;3.0;9.0
100.0;8.0;2.0;1.0;1.0;2.0;1.0;1.0;3.0;9.0
100.0;4.0;2.0;2.0;1.0;2.0;1.0;1.0;3.0;9.0
101.0;9.0;1.0;1.0;1.0;3.0;3.0;1.0;3.0;9.0
101.0;7.0;1.0;2.0;1.0;3.0;3.0;1.0;3.0;9.0
101.0;8.0;2.0;1.0;1.0;3.0;3.0;1.0;3.0;9.0
101.0;8.0;2.0;2.0;1.0;3.0;3.0;1.0;3.0;9.0
102.0;9.0;1.0;1.0;1.0;2.0;5.0;2.0;4.0;9.0
102.0;8.0;1.0;2.0;1.0;2.0;5.0;2.0;4.0;9.0
102.0;9.0;2.0;1.0;1.0;2.0;5.0;2.0;4.0;9.0
102.0;8.0;2.0;2.0;1.0;2.0;5.0;2.0;4.0;9.0
103.0;9.0;1.0;1.0;1.0;3.0;5.0;1.0;2.0;6.0
103.0;9.0;1.0;2.0;1.0;3.0;5.0;1.0;2.0;6.0
103.0;2.0;2.0;1.0;1.0;3.0;5.0;1.0;2.0;6.0
103.0;4.0;2.0;2.0;1.0;3.0;5.0;1.0;2.0;6.0
104.0;9.0;1.0;1.0;1.0;3.0;5.0;1.0;3.0;8.0
104.0;9.0;1.0;2.0;1.0;3.0;5.0;1.0;3.0;8.0
104.0;1.0;2.0;1.0;1.0;3.0;5.0;1.0;3.0;8.0
104.0;2.0;2.0;2.0;1.0;3.0;5.0;1.0;3.0;8.0
105.0;7.0;1.0;1.0;1.0;4.0;5.0;2.0;2.0;7.0
105.0;8.0;1.0;2.0;1.0;4.0;5.0;2.0;2.0;7.0
105.0;5.0;2.0;1.0;1.0;4.0;5.0;2.0;2.0;7.0
105.0;7.0;2.0;2.0;1.0;4.0;5.0;2.0;2.0;7.0
106.0;9.0;1.0;1.0;1.0;3.0;5.0;1.0;2.0;7.0
106.0;6.0;1.0;2.0;1.0;3.0;5.0;1.0;2.0;7.0
106.0;2.0;2.0;1.0;1.0;3.0;5.0;1.0;2.0;7.0
106.0;2.0;2.0;2.0;1.0;3.0;5.0;1.0;2.0;7.0
107.0;6.0;1.0;1.0;1.0;1.0;5.0;2.0;2.0;8.0
107.0;6.0;1.0;2.0;1.0;1.0;5.0;2.0;2.0;8.0
107.0;7.0;2.0;1.0;1.0;1.0;5.0;2.0;2.0;8.0
107.0;7.0;2.0;2.0;1.0;1.0;5.0;2.0;2.0;8.0
108.0;5.0;1.0;1.0;1.0;2.0;5.0;1.0;4.0;8.0
108.0;6.0;1.0;2.0;1.0;2.0;5.0;1.0;4.0;8.0
108.0;6.0;2.0;1.0;1.0;2.0;5.0;1.0;4.0;8.0
108.0;4.0;2.0;2.0;1.0;2.0;5.0;1.0;4.0;8.0
109.0;8.0;1.0;1.0;1.0;2.0;5.0;2.0;4.0;9.0
109.0;8.0;1.0;2.0;1.0;2.0;5.0;2.0;4.0;9.0
109.0;5.0;2.0;1.0;1.0;2.0;5.0;2.0;4.0;9.0
109.0;5.0;2.0;2.0;1.0;2.0;5.0;2.0;4.0;9.0
110.0;9.0;1.0;1.0;2.0;2.0;5.0;3.0;2.0;1.0
110.0;8.0;1.0;2.0;2.0;2.0;5.0;3.0;2.0;1.0
110.0;8.0;2.0;1.0;2.0;2.0;5.0;3.0;2.0;1.0
110.0;2.0;2.0;2.0;2.0;2.0;5.0;3.0;2.0;1.0
111.0;5.0;1.0;1.0;2.0;1.0;5.0;1.0;2.0;6.0
111.0;8.0;1.0;2.0;2.0;1.0;5.0;1.0;2.0;6.0
111.0;7.0;2.0;1.0;2.0;1.0;5.0;1.0;2.0;6.0
111.0;5.0;2.0;2.0;2.0;1.0;5.0;1.0;2.0;6.0
